                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.2455,                 1.1205,                 1.5197,                0.80523,                0.73256,                0.81736,                0.49832,                 1.2936,                 1.0033,                 1.5105,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.2131,                 1.1129,                 1.5104,                0.80299,                 0.7437,                0.81423,                 0.5087,                 1.3185,                 1.0276,                 1.5315,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.2256,                 1.0907,                 1.4996,                0.80243,                0.70749,                0.81271,                0.50645,                 1.2927,                 1.0068,                 1.4997,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.1946,                 1.0772,                  1.468,                0.73735,                0.73052,                0.78626,                0.49322,                 1.3108,                 1.0413,                 1.5256,             0.00077582,             0.00077582,             0.00077582
                     56,                  1.251,                 1.1036,                 1.5041,                0.78547,                0.76925,                0.82794,                0.50526,                 1.2873,                 1.0123,                 1.5006,             0.00075932,             0.00075932,             0.00075932
                     57,                  1.214,                 1.1026,                 1.4961,                0.81728,                 0.7426,                0.82355,                0.51981,                 1.2941,                0.98778,                 1.4888,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.1977,                 1.0844,                 1.4799,                0.82612,                0.75214,                  0.819,                0.50672,                 1.3103,                0.97685,                  1.494,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.1822,                 1.0603,                 1.4646,                0.81624,                0.74342,                0.82342,                 0.5142,                 1.2755,                 1.0217,                 1.4747,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.1959,                 1.0852,                   1.48,                0.79069,                0.76116,                0.82097,                 0.5162,                 1.2877,                 1.0164,                 1.4909,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.2015,                 1.0417,                 1.4912,                0.81603,                0.73238,                0.82132,                0.52529,                 1.2665,                0.97782,                 1.4809,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.1833,                 1.0433,                 1.4505,                0.74675,                0.74803,                 0.8061,                0.49624,                 1.2939,                 1.0205,                 1.5204,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.1965,                 1.0758,                 1.4849,                 0.8315,                0.72675,                0.82816,                 0.5092,                 1.2917,                 1.0336,                 1.4851,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.1895,                 1.0689,                 1.4895,                0.79713,                0.75188,                0.82928,                0.52088,                 1.2796,                0.96395,                 1.4899,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.1738,                 1.0399,                 1.4668,                0.81168,                0.75505,                0.82397,                0.51787,                 1.2931,                0.96083,                 1.4929,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.1931,                 1.0319,                 1.4562,                 0.7635,                0.75513,                0.81658,                0.50978,                 1.2831,                0.97364,                 1.4853,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.1931,                 1.0489,                 1.4656,                0.78443,                0.72866,                0.80899,                0.50121,                 1.2969,                0.95977,                  1.507,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.1857,                 1.0524,                 1.4845,                0.75195,                0.78279,                0.82428,                0.50132,                 1.2717,                 1.0177,                 1.4782,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.1995,                 1.0555,                 1.4764,                0.77756,                 0.7697,                0.82581,                0.51797,                 1.2808,                0.97873,                 1.4711,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.1446,                 1.0256,                  1.448,                0.79384,                0.77439,                0.83063,                0.51669,                 1.2556,                 0.9631,                 1.4559,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.1681,                 1.0212,                 1.4559,                0.81898,                0.76168,                0.83145,                0.52297,                 1.2622,                0.94547,                 1.4623,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.1786,                0.97998,                 1.4588,                0.81014,                0.75926,                0.82826,                0.51681,                 1.2789,                0.94301,                 1.4655,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.1694,                  1.024,                 1.4485,                 0.7648,                0.78065,                0.83285,                0.51791,                 1.2607,                0.94949,                 1.4681,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.1572,                0.98653,                 1.4523,                0.80489,                0.70532,                0.81953,                0.49956,                 1.3081,                0.96965,                  1.499,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.1361,                0.97501,                 1.4401,                0.76443,                0.76357,                0.82595,                0.52089,                 1.2471,                0.93349,                 1.4788,             0.00044576,             0.00044576,             0.00044576
                     76,                  1.168,                 1.0071,                 1.4588,                0.79289,                0.74006,                0.82428,                0.52598,                 1.2669,                0.94541,                 1.4616,             0.00042925,             0.00042925,             0.00042925
                     77,                  1.155,                0.99656,                 1.4456,                0.81768,                0.72768,                0.82711,                0.52526,                 1.2556,                0.93948,                 1.4694,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.1212,                0.94319,                 1.4205,                0.80479,                0.77661,                0.85105,                0.54077,                 1.2342,                0.90169,                 1.4472,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.1344,                0.97859,                 1.4225,                0.84605,                0.76071,                0.83764,                0.52271,                  1.278,                0.93375,                 1.4727,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.1307,                0.97336,                 1.4293,                0.79458,                0.74997,                0.81613,                0.52007,                 1.2421,                0.94957,                 1.4507,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.1293,                0.95954,                 1.4168,                0.82031,                0.75785,                0.84882,                0.52964,                 1.2345,                0.95261,                 1.4587,             0.00034674,             0.00034674,             0.00034674
